n_permutations_length,width,layers,model,final_train_loss,train_r2,train_rmse,train_spearman,test_r2,test_rmse,test_spearman,rmse_gap,spearman_gap,fit_time_sec,predict_time_sec,n_epochs,n_random_walks_to_generate,n_random_walk_length
20,32,[32],MLP_32_epochs10_rwlen190_n_rw10000,629.0914388853928,0.7947396039962769,24.849037170410156,0.8880997823425458,0.7898340225219727,25.14422035217285,0.8852951529145935,0.2951831817626953,0.002804629427952343,10.51338267326355,0.3594858646392822,10,10000,190
20,48,[48],MLP_48_epochs10_rwlen190_n_rw10000,604.6999208187235,0.803316056728363,24.324359893798828,0.8916023225387902,0.7874282598495483,25.287723541259766,0.8832747960379754,0.9633636474609375,0.008327526500814808,10.48634386062622,0.5098261833190918,10,10000,190
20,64,[64],MLP_64_epochs10_rwlen190_n_rw10000,585.7913765578435,0.8109345436096191,23.84861183166504,0.8958833564721174,0.7972497940063477,24.696622848510742,0.887754983431467,0.8480110168457031,0.008128373040650394,10.459297895431519,0.5056877136230469,10,10000,190
20,128,[128],MLP_128_epochs10_rwlen190_n_rw10000,575.7524872648305,0.8158245086669922,23.53818130493164,0.8989699971835493,0.7860425114631653,25.370014190673828,0.8828652368730787,1.8318328857421875,0.01610476031047059,10.625744581222534,0.513920783996582,10,10000,190
20,256,[256],MLP_256_epochs10_rwlen190_n_rw10000,579.5201184502963,0.817175567150116,23.45168685913086,0.8996608036164687,0.7931531071662903,24.944881439208984,0.8857404488172431,1.493194580078125,0.013920354799225598,10.716918230056763,0.515965461730957,10,10000,190
20,512,[512],MLP_512_epochs10_rwlen190_n_rw10000,560.5746792760389,0.828170895576477,22.735546112060547,0.9064989114127682,0.782553493976593,25.576030731201172,0.8814055183629268,2.840484619140625,0.025093393049841373,10.547322273254395,0.35784244537353516,10,10000,190
20,1024,[1024],MLP_1024_epochs10_rwlen190_n_rw10000,535.0494401865992,0.8430913686752319,21.726032257080078,0.9153978509597643,0.7864110469818115,25.348155975341797,0.8821050073531691,3.6221237182617188,0.033292843606595235,10.743608236312866,0.5312621593475342,10,10000,190
24,4,[4],MLP_4_epochs10_rwlen276_n_rw10000,4265.152009233877,0.3370044231414795,64.87403869628906,0.5467382536350989,0.34975194931030273,64.2473373413086,0.5593286919532585,-0.6267013549804688,-0.012590438318159647,15.201727390289307,0.8345129489898682,10,10000,276
24,8,[8],MLP_8_epochs10_rwlen276_n_rw10000,1438.351081327444,0.778504490852356,37.497135162353516,0.8829480685898227,0.8137590289115906,34.38374710083008,0.9060398543540347,-3.1133880615234375,-0.023091785764212003,15.20336627960205,0.6772520542144775,10,10000,276
24,16,[16],MLP_16_epochs10_rwlen276_n_rw10000,1277.6878820130662,0.8037207126617432,35.2982177734375,0.8958717504382351,0.8356992602348328,32.295005798339844,0.91666969580785,-3.0032119750976562,-0.02079794536961488,15.170347213745117,0.5230164527893066,10,10000,276
24,24,[24],MLP_24_epochs10_rwlen276_n_rw10000,1224.4815465095135,0.8118685483932495,34.557823181152344,0.9001055869639866,0.8365961313247681,32.20674133300781,0.9151232097629323,-2.3510818481445312,-0.015017622798945696,15.166019201278687,0.6530702114105225,10,10000,276
24,32,[32],MLP_32_epochs10_rwlen276_n_rw10000,1282.70603811564,0.8037605285644531,35.29464340209961,0.8953767086422968,0.8371949791908264,32.14767074584961,0.9185551303439436,-3.14697265625,-0.023178421701646856,15.18324089050293,0.6704661846160889,10,10000,276
24,48,[48],MLP_48_epochs10_rwlen276_n_rw10000,1210.2989795130154,0.8150032758712769,34.268699645996094,0.9015774708596404,0.8493177890777588,30.927623748779297,0.9233806194044608,-3.341075897216797,-0.02180314854482046,15.335135459899902,0.6592733860015869,10,10000,276
24,64,[64],MLP_64_epochs10_rwlen276_n_rw10000,1182.8503683978797,0.8216891884803772,33.64375686645508,0.9029277133036667,0.850428581237793,30.813417434692383,0.9202124236900127,-2.8303394317626953,-0.017284710386345936,15.274823904037476,0.522590160369873,10,10000,276
24,128,[128],MLP_128_epochs10_rwlen276_n_rw10000,1132.5084896597027,0.832561731338501,32.60190963745117,0.90935076989316,0.8429521322250366,31.57414436340332,0.9163574301448452,-1.0277652740478516,-0.007006660251685171,15.462940454483032,0.5217187404632568,10,10000,276
24,256,[256],MLP_256_epochs10_rwlen276_n_rw10000,1006.3169957509027,0.8566980361938477,30.160717010498047,0.9234703231765137,0.8469092845916748,31.17382049560547,0.9179814238287308,1.0131034851074219,0.00548889934778285,15.591912746429443,0.658444881439209,10,10000,276
24,512,[512],MLP_512_epochs10_rwlen276_n_rw10000,933.3329698240015,0.8763498067855835,28.01644515991211,0.9352641394564635,0.842189371585846,31.650732040405273,0.9157866358682676,3.634286880493164,0.019477503588195888,15.498707056045532,0.6596202850341797,10,10000,276
24,1024,[1024],MLP_1024_epochs10_rwlen276_n_rw10000,975.9690144479451,0.8802347779273987,27.572805404663086,0.9376759781725341,0.8291902542114258,32.928497314453125,0.9098446010919184,5.355691909790039,0.02783137708061567,15.591049194335938,0.6581840515136719,10,10000,276
28,4,[4],MLP_4_epochs10_rwlen378_n_rw10000,8083.677945848922,0.32824647426605225,89.43441009521484,0.5332038597704415,0.3043366074562073,91.01211547851562,0.5025158196753784,1.5777053833007812,0.030688040095063096,20.85355544090271,0.8452913761138916,10,10000,378
28,8,[8],MLP_8_epochs10_rwlen378_n_rw10000,2721.98266052709,0.7782954573631287,51.379154205322266,0.8840414196464755,0.7478560209274292,54.792850494384766,0.8718327673323221,3.4136962890625,0.012208652314153468,20.814488887786865,0.7123370170593262,10,10000,378
28,16,[16],MLP_16_epochs10_rwlen378_n_rw10000,2400.9864106514083,0.8043173551559448,48.269832611083984,0.8971378943882058,0.7662259936332703,52.7591438293457,0.8780089908299066,4.489311218261719,0.019128903558299215,20.80528426170349,0.7177712917327881,10,10000,378
28,24,[24],MLP_24_epochs10_rwlen378_n_rw10000,2042.97470737511,0.8359141945838928,44.20131301879883,0.9149925330291901,0.7820942401885986,50.937076568603516,0.8875827020693633,6.7357635498046875,0.027409830959826853,20.827293395996094,0.8485710620880127,10,10000,378
28,32,[32],MLP_32_epochs10_rwlen378_n_rw10000,2063.967446572086,0.8340889811515808,44.44647216796875,0.9126009104966081,0.8029474020004272,48.43850326538086,0.894249084416231,3.9920310974121094,0.01835182608037711,20.784998416900635,0.8552291393280029,10,10000,378
28,48,[48],MLP_48_epochs10_rwlen378_n_rw10000,2000.5848640284844,0.841068685054779,43.50151443481445,0.9159564745474968,0.7957810163497925,49.311439514160156,0.8893960528720559,5.809925079345703,0.026560421675440926,21.030024528503418,1.012082815170288,10,10000,378
28,64,[64],MLP_64_epochs10_rwlen378_n_rw10000,1873.251966780211,0.8533463478088379,41.787471771240234,0.9223153290693898,0.7894306182861328,50.072265625,0.8863286973191591,8.284793853759766,0.03598663175023076,20.92726969718933,0.8544669151306152,10,10000,378
28,128,[128],MLP_128_epochs10_rwlen378_n_rw10000,1709.8422565894164,0.8701171875,39.325618743896484,0.9308703651330075,0.8125764727592468,47.240196228027344,0.897900539082657,7.914577484130859,0.03296982605035048,21.14816379547119,0.8598926067352295,10,10000,378
28,256,[256],MLP_256_epochs10_rwlen378_n_rw10000,1719.78125085965,0.8784679770469666,38.0403938293457,0.9362154378931191,0.8059364557266235,48.069725036621094,0.8956988422140807,10.02933120727539,0.040516595679038425,21.176745414733887,0.7193260192871094,10,10000,378
28,512,[512],MLP_512_epochs10_rwlen378_n_rw10000,1511.0369479261008,0.9041336178779602,33.78569412231445,0.9511124006495774,0.7849889993667603,50.59760665893555,0.8859172885694826,16.811912536621094,0.06519511208009476,21.294087409973145,0.7170441150665283,10,10000,378
28,1024,[1024],MLP_1024_epochs10_rwlen378_n_rw10000,1297.931313379356,0.9250575304031372,29.87196159362793,0.9621471091027384,0.7841842770576477,50.692203521728516,0.8862085996779724,20.820241928100586,0.07593850942476599,21.210113763809204,0.8585307598114014,10,10000,378
