coset,d,k,n,diameter,last_layer_size,total_states,growth,central
2Different,5,2,9,5,1,9,"[1, 1, 1, 2, 3, 1]",
2Different,5,2,10,5,2,10,"[1, 1, 1, 2, 3, 2]",
2Different,5,2,11,6,1,11,"[1, 1, 1, 2, 3, 2, 1]",
2Different,5,2,12,7,1,12,"[1, 1, 1, 2, 3, 2, 1, 1]",
2Different,5,2,13,8,1,13,"[1, 1, 1, 2, 3, 2, 1, 1, 1]",
2Different,5,2,14,9,1,14,"[1, 1, 1, 2, 3, 2, 1, 1, 1, 1]",
2Different,5,2,15,10,1,15,"[1, 1, 1, 2, 3, 2, 1, 1, 1, 1, 1]",
2Different,5,2,16,11,1,16,"[1, 1, 1, 2, 3, 2, 1, 1, 1, 1, 1, 1]",
2Different,5,2,17,12,1,17,"[1, 1, 1, 2, 3, 2, 1, 1, 1, 1, 1, 1, 1]",
2Different,5,2,18,13,1,18,"[1, 1, 1, 2, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,5,2,19,14,1,19,"[1, 1, 1, 2, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,5,2,20,15,1,20,"[1, 1, 1, 2, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,5,3,9,6,1,9,"[1, 1, 1, 1, 2, 2, 1]",
2Different,5,3,10,6,1,10,"[1, 1, 1, 1, 2, 3, 1]",
2Different,5,3,11,6,2,11,"[1, 1, 1, 1, 2, 3, 2]",
2Different,5,3,12,7,1,12,"[1, 1, 1, 1, 2, 3, 2, 1]",
2Different,5,3,13,8,1,13,"[1, 1, 1, 1, 2, 3, 2, 1, 1]",
2Different,5,3,14,9,1,14,"[1, 1, 1, 1, 2, 3, 2, 1, 1, 1]",
2Different,5,3,15,10,1,15,"[1, 1, 1, 1, 2, 3, 2, 1, 1, 1, 1]",
2Different,5,3,16,11,1,16,"[1, 1, 1, 1, 2, 3, 2, 1, 1, 1, 1, 1]",
